Name,Website,Category,Type,Tier,Investments,logo_url
She Loves Tech Bangladesh,https://www.shelovestech.org,Incubators & Accelerators,Local,3,,https://images.squarespace-cdn.com/content/v1/5e61ad8cf709a173c3e81b5f/1594701992424-S89172OSYLG1MK7R425Q/ABUIABAEGAAgg82oxgUo_LXPRTCQCDi_BQ.png
SM2 Accelerate,,Incubators & Accelerators,Local,3,SOSV,
STITCH For RMG: Global Innovation Challenge,,Incubators & Accelerators,Local,3,H&M Foundation; The Asia Foundation,
Student to Startup Ventures,,Incubators & Accelerators,Local,,,
Youth Co Lab,https://www.youthcolab.org/,Incubators & Accelerators,Local,,Citi Foundation UNDP,
BRAC SIL,https://innovation.brac.net/,Incubators & Accelerators,Local,1,,https://innovation.brac.net/whitelogo.png
Startup Dhaka,https://startupdhaka.com,Incubators & Accelerators,Local,1,,
IBA CC (Dhaka University),https://www.iba-du.edu,Incubators & Accelerators,University,,,
NSU Startups Next,https://nsusn.framer.ai/,Incubators & Accelerators,University,1,,
UIU University Innovation Hub,https://uihp.org/,Incubators & Accelerators,University,1,,https://uihp.org/assets/frontend/images/logo/logo-small-white.png
ULAB Social & Green Incubator,https://byeah.org/incubation/ulab-social-green-incubator/,Incubators & Accelerators,University,1,,
Scaling Up Nutrition,https://scalingupnutrition.org/sun-countries/bangladesh,Incubators & Accelerators,,,,
Village Capital,https://vilcap.com,Impact Investor,Global,1,Investor in ShurjoPay,https://vilcap.com/wp-content/uploads/2019/10/Logo-VC-1.png
Finance in Motion,http://www.finance-in-motion.com,Impact Investor,Global,1,,
Aavishkaar Capital,https://aavishkaarcapital.in,Impact Investor,Global,1,,https://cdn.prod.website-files.com/6368d53a1a07d773698447c6/662f7a24e835d59ed883c1d2_65ca580f7c78cf10a03e17c5_65ca4c90cd48ab9e6745d929_aavishkar.png
Accion,https://www.accion.org/,Impact Investor,Global,1,,
Bill & Melinda Gates Foundation,http://www.gatesfoundation.org,Impact Investor,Global,1,,https://www.gatesfoundation.org/-/media/logos/gf-primary-parchment-logo_4by1-ratio-fixed.svg
Impact Collective,https://theimpactcollective.co,Impact Investor,Global,1,,https://theimpactcollective.co/wp-content/uploads/2016/08/cropped-TIC-Logo-colour-600px-300x60.jpg
Impact Investment Exchange (Asia) (IIX),https://impactpartners.iixglobal.com/,Impact Investor,Global,1,,https://impactpartners.iixglobal.com/home-page/ip_logo_white.png
Roots of Impact,https://www.rootsofimpact.com,Impact Investor,Global,1,,
Skaala,https://skaala.org/,Impact Investor,Global,1,,https://skaala.org/wp-content/uploads/2024/11/cropped-cropped-skaala-og-1.png
Truvalu,https://truvalu-bd.com/,Impact Investor,Global,1,,
Omidyar Network,https://omidyar.com,Impact Investor,Global,1,Investor in ShopUp,
EDP Ventures,https://www.edpventures.vc/,Impact Investor,Global,1,Investor in SolShare,https://cdn.prod.website-files.com/6368d53a1a07d773698447c6/662f7d5cfddf7e5befab0a04_65ca66e96ed9a2b49a07e9ca_Frame%252099.jpeg
New Energy Nexus,https://www.newenergynexus.com/,Impact Investor,Global,2,,https://www.newenergynexus.com/wp-content/uploads/2024/07/NEX_LOGO_Final_X_Orange-1.png
AIM STEPs,http://www.invest-steps.com/,Impact Investor,Local,2,,
Beyond S Ventures,https://beyonds.ventures/,Impact Investor,Local,1,,
Biniyog Briddhi,https://www.sie-b.org,Impact Investor,Local,1,,https://cdn.prod.website-files.com/6368d53a1a07d773698447c6/662f7a28ad4fc70c8a8f67e2_65ca61a9102084a9916844ce_Frame%252092.jpeg
The Osiris Group,http://www.the-osiris-group.com,Impact Investor,Local,1,,https://cdn.prod.website-files.com/6368d53a1a07d773698447c6/662f7d624da78c9b32b129e2_65cae5ab458453b136e97157_ExitStack%2520Design%2520Frame%2520132.jpeg
Tindercapital,http://www.tindercapital.com,Impact Investor,Local,2,,https://images.squarespace-cdn.com/content/v1/5523564fe4b0291ca638ac87/1434605742948-TJUXRGABJZ5PZ0BBBOQ8/tindercapital+logo.png
A2i,https://a2i.gov.bd/,Government,Government,1,,https://a2i.gov.bd/themes/responsive_npf/img/logo/a2i.png
Founder Institue,https://fi.co/,Ecosystem Support,Global,3,Founder Institute,
Stanford Seed Spark,https://www.seedspark.com,Ecosystem Support,Global,1,,https://seedspark.com/wp-content/uploads/2023/06/Wordpress-Global-Header-SS-Logo-with-®-1024x224.png
Finprojections,https://www.finprojections.com/,Ecosystem Support,Global,1,,https://www.finprojections.com/hubfs/Fin%20Projections/Logos/HorizontalLogo_NoBG_250x100.png
Carta,https://carta.com/sg/en/,Ecosystem Support,Global,1,,https://carta.com/assets/logo-square-blue.svg
Doola,https://www.doola.com/,Ecosystem Support,Global,1,,https://www.doola.com/wp-content/themes/doola2/resources/images/doola-logo.svg
Lanturn,https://www.lanturn.com/,Ecosystem Support,Global,1,,https://www.lanturn.com/wp-content/uploads/2023/09/lanturn-logo-footer-1.webp
Legatcy,https://legatcy.com/,Ecosystem Support,Global,1,,https://legatcy.com/wp-content/themes/legatcy/assets/images/header-logo.png
Bangladesh Hi-Tech Park Authority,http://bhtpa.gov.bd,Ecosystem Support,Government,1,,https://bhtpa.gov.bd/themes/responsive_npf/img/logo/logo.png
Turtle Venture,https://www.turtleventure.com/,Ecosystem Support,Local,3,Dekko Isho Venture Capital (DIVC),https://turtleventure.com/wp-content/uploads/2023/09/Turtle-Venture.jpg
BYLC,https://bylc.org/,Ecosystem Support,Local,1,,https://bylc.org/assets/images/bylc-logo-we4x-516x121.png
YY Ventures,https://yy.ventures/,Ecosystem Support,Local,1,,https://yy.ventures/_next/static/media/yyv-logo.ecd71d47.svg
Preneurlab,https://preneurlab.org,Ecosystem Support,Local,2,,https://preneurlab.org/wp-content/uploads/2018/01/cropped-preneurlab.png
ACDI/VOCA,https://www.acdivoca.org/news/by-country/bangladesh/,Ecosystem Support,Local,,,https://www.acdivoca.org/wp-content/themes/acdivoca-2019/images/logo.png
